codegeo,libgeo,dcomiris,lib_iris,type_iris,au,lib_au,uu,dep,agri,articom,cadres,profint,employes,ouvriers,actifs,proprietai,locpriv,hlm,gratuit,logements,no_diploma,brevet,cap_bep,bac,bac_2,bac_3_4,bac_5,pop_noscol,p_agri,p_articom,p_cadres,p_profint,p_employes,p_ouvriers,p_propriet,p_locpriv,p_hlm,p_gratuit,p_nodiplom,p_brevet,p_cap_bep,p_bac,p_bac_2,p_bac_3_4,p_bac_5
"69389",Lyon 9e Arrondissement,"693890202",La Gare d'Eau,A,"002",Lyon,UU00758,"69","0","26","157","110","63","23","379","137","205","1","12","355","53","7","39","69","73","71","163","475",0.000000000000000,6.860158000000000,41.424799999999998,29.023750000000000,16.622689999999999,6.068602000000000,38.591549999999998,57.746479999999998,0.281690200000000,3.380282000000000,11.157900000000000,1.473684000000000,8.210526000000000,14.526320000000000,15.368420000000000,14.947369999999999,34.315790000000000
"69386",Lyon 6e Arrondissement,"693860603",J. Recamier,H,"002",Lyon,UU00758,"69","0","66","506","332","280","71","1255","293","763","160","17","1233","188","29","136","194","177","214","605","1543",0.000000000000000,5.258964000000000,40.318730000000002,26.454180000000001,22.310759999999998,5.657371000000000,23.763179999999998,61.881590000000003,12.976480000000000,1.378751000000000,12.184060000000001,1.879456000000000,8.813999000000004,12.572910000000000,11.471159999999999,13.869090000000000,39.209330000000001
"69387",Lyon 7e Arrondissement,"693870602",Le Fleuve,H,"002",Lyon,UU00758,"69","0","91","453","643","516","316","2019","622","651","367","31","1671","483","158","411","404","325","361","535","2678",0.000000000000000,4.507182000000000,22.436850000000000,31.847449999999998,25.557210000000001,15.651310000000000,37.223219999999998,38.958710000000004,21.962900000000001,1.855177000000000,18.035850000000000,5.899925000000000,15.347270000000000,15.085889999999999,12.135920000000000,13.480210000000000,19.977589999999999
"69389",Lyon 9e Arrondissement,"693890203",Rochecardon-Gare de Vaise,H,"002",Lyon,UU00758,"69","0","38","327","428","403","274","1470","556","608","311","17","1493","578","78","381","309","215","214","305","2080",0.000000000000000,2.585034000000000,22.244900000000001,29.115649999999999,27.414970000000000,18.639460000000000,37.240459999999999,40.723379999999999,20.830539999999999,1.138647000000000,27.788460000000001,3.750000000000000,18.317309999999999,14.855770000000000,10.336539999999999,10.288460000000001,14.663460000000001
"69388",Lyon 8e Arrondissement,"693880403",Genton-Ranvier,H,"002",Lyon,UU00758,"69","0","41","206","194","245","83","769","404","575","25","30","1035","357","88","285","243","95","118","205","1389",0.000000000000000,5.331600000000000,26.788039999999999,25.227570000000000,31.859559999999998,10.793240000000001,39.033819999999999,55.555560000000000,2.415459000000000,2.898551000000000,25.701940000000000,6.335493000000000,20.518360000000001,17.494599999999998,6.839453000000000,8.495320000000000,14.758820000000000
"69388",Lyon 8e Arrondissement,"693880204",Montplaisir Sud,H,"002",Lyon,UU00758,"69","0","36","500","471","354","66","1427","517","793","110","36","1456","133","58","193","215","313","267","564","1744",0.000000000000000,2.522775000000000,35.038539999999998,33.006309999999999,24.807289999999998,4.625088000000000,35.508240000000001,54.464289999999998,7.554945000000000,2.472528000000000,7.626147000000000,3.325688000000000,11.066509999999999,12.327980000000000,17.947250000000000,15.309630000000000,32.339449999999999
"69384",Lyon 4e Arrondissement,"693840203",Place Croix Rousse-Austerlitz,H,"002",Lyon,UU00758,"69","0","63","489","418","260","54","1284","411","660","8","19","1098","142","55","150","148","197","248","516","1456",0.000000000000000,4.906542000000000,38.084110000000003,32.554519999999997,20.249220000000001,4.205607000000000,37.431690000000003,60.109290000000001,0.728597500000000,1.730419000000000,9.752748000000000,3.777472000000000,10.302199999999999,10.164830000000000,13.530220000000000,17.032969999999999,35.439560000000000
"69383",Lyon 3e Arrondissement,"693830703",Monchat-Bonnand,H,"002",Lyon,UU00758,"69","0","104","794","478","341","133","1850","918","970","24","33","1945","261","67","314","332","381","343","787","2486",0.000000000000000,5.621622000000000,42.918920000000000,25.837840000000000,18.432430000000000,7.189189000000000,47.197940000000003,49.871459999999999,1.233933000000000,1.696658000000000,10.498790000000000,2.695092000000000,12.630730000000000,13.354789999999999,15.325820000000000,13.797269999999999,31.657280000000000
"69382",Lyon 2e Arrondissement,"693820501",Montrochet-Marche-Gare,A,"002",Lyon,UU00758,"69","0","0","7","5","31","4","47","3","54","0","0","57","4","0","26","4","0","7","10","50",0.000000000000000,0.000000000000000,14.893620000000000,10.638299999999999,65.957440000000005,8.510638000000000,5.263158000000000,94.736840000000001,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,52.000000000000000,8.000000000000000,0.000000000000000,14.000000000000000,20.000000000000000
"69382",Lyon 2e Arrondissement,"693820504",Sainte-Blandine-Casimir Perier,H,"002",Lyon,UU00758,"69","0","89","477","435","477","253","1731","554","819","774","24","2170","692","198","499","407","323","292","521","2932",0.000000000000000,5.141537000000000,27.556329999999999,25.129980000000000,27.556329999999999,14.615830000000001,25.529949999999999,37.741940000000000,35.668199999999999,1.105991000000000,23.601640000000000,6.753069000000000,17.019100000000002,13.881309999999999,11.016370000000000,9.959072000000001,17.769439999999999
